Defector,Bully,Suspicious Tit For Tat,Tit For Tat,Alternator,Anti Tit For Tat,Win-Stay Lose-Shift,Cooperator
3.82653061224,2.69642857143,2.38619047619,2.0,2.23647186147,2.2093837535,1.93507730365,1.45378151261
3.54174397032,3.19659863946,2.46271114506,2.07314744079,2.17142857143,1.9880952381,2.04891774892,1.55
3.83694083694,2.78609625668,2.73484848485,2.14378619483,1.9643469356,2.04659863946,2.02721088435,1.58074534161
3.39365079365,2.97380952381,2.63796992481,2.02857142857,2.3,2.14715359828,2.00992063492,1.47551020408
3.38522588523,2.92327315542,2.29243697479,2.38186813187,2.36177547942,2.06586270872,1.9716553288,1.45324675325
3.329004329,2.81655844156,2.50963718821,2.34523809524,2.23403679654,2.13311688312,1.88017934447,1.46590909091
3.31168831169,2.85629251701,2.30476190476,2.20766201217,2.2533425972,1.79107830552,1.9816017316,1.92380952381
3.44701509872,3.14974282396,2.84353741497,1.87523809524,2.29065934066,2.47619047619,1.50366300366,1.42857142857
3.58049886621,2.83820861678,2.42891156463,2.20238095238,2.42857142857,2.37278911565,1.7380952381,1.57857142857
3.4693877551,2.81593406593,2.25873015873,2.18559218559,2.25833333333,2.00974025974,1.93741496599,1.46753246753
3.32471655329,3.01290516206,2.35802590267,2.26283846872,2.17517006803,2.03366474795,1.91683673469,1.50765306122
3.7406162465,2.9619047619,2.636996337,1.94701726845,2.1323469273,2.0724025974,1.93817713818,1.31899350649
3.48571428571,2.84666666667,2.67619047619,2.20769423559,2.43599257885,1.87081835022,1.78540372671,1.55519480519
